Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
 SY170801A14,CREAM 0.21X1200 ,,475,1,0,1.995,0, No Tax, exclusive,,m=1.9_1.995|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
24110,CREAM 0.26X1200,,475,1,0,2.369,0, No Tax, exclusive,,m=2.3_2.369|kg=1_1.03,,,,,,,,,,,,no_image.png,standard
FHA17091824,CREAM 0.21X1200 ,,475,1,0,1.995,0, No Tax, exclusive,,m=1.9_1.995|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
YT170729B09B,CREAM 0.31X1200,,475,1,0,2.8,0, No Tax, exclusive,,m=2.8_2.8|kg=1_1,,,,,,,,,,,,no_image.png,standard
FHC17090127A,CREAM 0.36X1200,,475,1,0,3.3,0, No Tax, exclusive,,m=3.3_3.3|kg=1_1,,,,,,,,,,,,no_image.png,standard
2170725-80B,CREAM 0.47X1200,,475,1,0,4.275,0, No Tax, exclusive,,m=4.5_4.275|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
2170725-02B,CREAM 0.47X1200,,475,1,0,4.275,0, No Tax, exclusive,,m=4.5_4.275|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
2170725-78B,CREAM 0.47X1201,,475,1,0,4.725,0, No Tax, exclusive,,m=4.5_4.725|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
LF170630A11A,CREAM O.21X0.914,,475,1,0,1.575,0, No Tax, exclusive,,m=1.5_1.575|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
LF170630A10A,CREAM O.21X0.914,,475,1,0,1.575,0, No Tax, exclusive,,m=1.5_1.575|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
FHB17081539B,WHITE 0.36X1200,,695,1,0,3.3,0, No Tax, exclusive,,m=3.3_3.3|kg=1_1,,,,,,,,,,,,no_image.png,standard
FHB17081522A(B24),BLUE 0.21X1200,,640,1,0,1.995,0, No Tax, exclusive,,m=1.9_1.995|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
FHB17083037A,BLUE 0.26X1200,,640,1,0,2.369,0, No Tax, exclusive,,m=2.3_2.369|kg=1_1.03,,,,,,,,,,,,no_image.png,standard
YT170725B18,BLUE 0.31X1200,,640,1,0,2.8,0, No Tax, exclusive,,m=2.8_2.8|kg=1_1,,,,,,,,,,,,no_image.png,standard
FHC1709B,BLUE 0.36X1200,,640,1,0,3.3,0, No Tax, exclusive,,m=3.3_3.3|kg=1_1,,,,,,,,,,,,no_image.png,standard
00001ABC-A89,BLUE 0.25X1000,,640,1,0,2.0475,0, No Tax, exclusive,,m=1.95_2.0475|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
RT2017061507-2,BLUE 0.47X1000,,640,1,0,3.5,0, No Tax, exclusive,,m=3.5_3.5|kg=1_1,,,,,,,,,,,,no_image.png,standard
RT2017061508-2,BLUE 0.47X1000,,640,1,0,3.5,0, No Tax, exclusive,,m=3.5_3.5|kg=1_1,,,,,,,,,,,,no_image.png,standard
RT2017061603-2,BLUE 0.47X1000,,640,1,0,3.5,0, No Tax, exclusive,,m=3.5_3.5|kg=1_1,,,,,,,,,,,,no_image.png,standard
WB170813A09                                         ,RED  0.21X1200,,285,1,0,1.995,0, No Tax, exclusive,,m=1.9_1.995|kg=1_1.05,,,,,,,,,,,,no_image.png,standard
7883,RED 0.26X1200,,285,1,0,2.369,0, No Tax, exclusive,,m=2.3_2.369|kg=1_1.03,,,,,,,,,,,,no_image.png,standard
YT170728A17B,RED 0.31X1200,,285,1,0,2.8,0, No Tax, exclusive,,m=2.8_2.8|kg=1_1,,,,,,,,,,,,no_image.png,standard
1331,RED 0.36x1200,,285,1,0,3.3,0, No Tax, exclusive,,m=3.3_3.3|kg=1_1,,,,,,,,,,,,no_image.png,standard
2170705-51,WING 0.21X1200,,222,1,0,1.836,0, No Tax, exclusive,,m=1.8_1.836|kg=1_1.02,,,,,,,,,,,,no_image.png,standard
2170705-52,WING 0.21X1200,,222,1,0,1.836,0, No Tax, exclusive,,m=1.8_1.836|kg=1_1.02,,,,,,,,,,,,no_image.png,standard
2170705-53,WING 0.21X1200,,222,1,0,1.836,0, No Tax, exclusive,,m=1.8_1.836|kg=1_1.02,,,,,,,,,,,,no_image.png,standard
ASPR1709998-1.3,GL 0.3X1200,,3GL,1,0,2.8215,0, No Tax, exclusive,,m=2.85_2.8215|kg=1_0.99,,,,,,,,,,,,no_image.png,standard
ASPR1709998-1.2,GL 0.3X1200,,3GL,1,0,2.8215,0, No Tax, exclusive,,m=2.85_2.8215|kg=1_0.99,,,,,,,,,,,,no_image.png,standard
1505216626,GL 0.4X1220,,4GL,1,0,3.42,0, No Tax, exclusive,,m=3.6_3.42|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
HDP600B28101,GL 0.6X1200,,6GL,1,0,5.415,0, No Tax, exclusive,,m=5.7_5.415|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
HDL35J233,GL 0.35X0.9,,35GL,1,0,2.16,0, No Tax, exclusive,,m=2.4_2.16|kg=1_0.9,,,,,,,,,,,,no_image.png,standard
PHD1608273/4,GI 0.4X1250,,4GI,1,0,3.75,0, No Tax, exclusive,,m=3.75_3.75|kg=1_1,,,,,,,,,,,,no_image.png,standard
PHD1662636/4,GI 0.47X1250,,47GI,1,0,4.5,0, No Tax, exclusive,,m=4.5_4.5|kg=1_1,,,,,,,,,,,,no_image.png,standard
PHD1620350/2,GI 0.5X1220,,5GI,1,0,4.7,0, No Tax, exclusive,,m=4.7_4.7|kg=1_1,,,,,,,,,,,,no_image.png,standard
PHD1620350/3,GI 0.5X1220,,5GI,1,0,4.7,0, No Tax, exclusive,,m=4.7_4.7|kg=1_1,,,,,,,,,,,,no_image.png,standard
PHD1620519/4,GI 0.6X1220,,6GI,1,0,5.529,0, No Tax, exclusive,,m=5.7_5.529|kg=1_0.97,,,,,,,,,,,,no_image.png,standard
