Code	Name	Name KH	Category Code	Unit ID	Cost	Price	Alert Quantity	 Tax Rate Name	Tax Method	Subcategory Code	Product Variants Separated by |	Supplier1(No)	Supplier2(No)	Supplier3(No)	Supplier4(No)	Supplier5(No)	Custom Field 1	Custom Field 2	Custom Field 3	Custom Field 4	Custom Field 5	Custom Field 6	Image	Type(standard or service)
 SY170801A14	CREAM 0.21X1200 		475	2	0	1.05	0	 No Tax	 exclusive		kg=0.526315789473684_1.05|m=1_1.995												no_image.png	standard
24110	CREAM 0.26X1200		475	2	0	1.03	0	 No Tax	 exclusive		kg=0.434782608695652_1.03|m=1_2.369												no_image.png	standard
FHA17091824	CREAM 0.21X1200 		475	2	0	1.05	0	 No Tax	 exclusive		kg=0.526315789473684_1.05|m=1_1.995												no_image.png	standard
YT170729B09B	CREAM 0.31X1200		475	2	0	1	0	 No Tax	 exclusive		kg=0.357142857142857_1|m=1_2.8												no_image.png	standard
FHC17090127A	CREAM 0.36X1200		475	2	0	1	0	 No Tax	 exclusive		kg=0.303030303030303_1|m=1_3.3												no_image.png	standard
2170725-80B	CREAM 0.47X1200		475	2	0	0.95	0	 No Tax	 exclusive		kg=0.222222222222222_0.95|m=1_4.275												no_image.png	standard
2170725-02B	CREAM 0.47X1200		475	2	0	0.95	0	 No Tax	 exclusive		kg=0.222222222222222_0.95|m=1_4.275												no_image.png	standard
2170725-78B	CREAM 0.47X1201		475	2	0	1.05	0	 No Tax	 exclusive		kg=0.222222222222222_1.05|m=1_4.725												no_image.png	standard
LF170630A11A	CREAM O.21X0.914		475	2	0	1.05	0	 No Tax	 exclusive		kg=0.666666666666667_1.05|m=1_1.575												no_image.png	standard
LF170630A10A	CREAM O.21X0.914		475	2	0	1.05	0	 No Tax	 exclusive		kg=0.666666666666667_1.05|m=1_1.575												no_image.png	standard
FHB17081539B	WHITE 0.36X1200		695	2	0	1	0	 No Tax	 exclusive		kg=0.303030303030303_1|m=1_3.3												no_image.png	standard
FHB17081522A(B24)	BLUE 0.21X1200		640	2	0	1.05	0	 No Tax	 exclusive		kg=0.526315789473684_1.05|m=1_1.995												no_image.png	standard
FHB17083037A	BLUE 0.26X1200		640	2	0	1.03	0	 No Tax	 exclusive		kg=0.434782608695652_1.03|m=1_2.369												no_image.png	standard
YT170725B18	BLUE 0.31X1200		640	2	0	1	0	 No Tax	 exclusive		kg=0.357142857142857_1|m=1_2.8												no_image.png	standard
FHC1709B	BLUE 0.36X1200		640	2	0	1	0	 No Tax	 exclusive		kg=0.303030303030303_1|m=1_3.3												no_image.png	standard
00001ABC-A89	BLUE 0.25X1000		640	2	0	1.05	0	 No Tax	 exclusive		kg=0.512820512820513_1.05|m=1_2.0475												no_image.png	standard
RT2017061507-2	BLUE 0.47X1000		640	2	0	1	0	 No Tax	 exclusive		kg=0.285714285714286_1|m=1_3.5												no_image.png	standard
RT2017061508-2	BLUE 0.47X1000		640	2	0	1	0	 No Tax	 exclusive		kg=0.285714285714286_1|m=1_3.5												no_image.png	standard
RT2017061603-2	BLUE 0.47X1000		640	2	0	1	0	 No Tax	 exclusive		kg=0.285714285714286_1|m=1_3.5												no_image.png	standard
WB170813A09                                         	RED  0.21X1200		285	2	0	1.05	0	 No Tax	 exclusive		kg=0.526315789473684_1.05|m=1_1.995												no_image.png	standard
7883	RED 0.26X1200		285	2	0	1.03	0	 No Tax	 exclusive		kg=0.434782608695652_1.03|m=1_2.369												no_image.png	standard
YT170728A17B	RED 0.31X1200		285	2	0	1	0	 No Tax	 exclusive		kg=0.357142857142857_1|m=1_2.8												no_image.png	standard
1331	RED 0.36x1200		285	2	0	1	0	 No Tax	 exclusive		kg=0.303030303030303_1|m=1_3.3												no_image.png	standard
2170705-51	WING 0.21X1200		222	2	0	1.02	0	 No Tax	 exclusive		kg=0.555555555555556_1.02|m=1_1.836												no_image.png	standard
2170705-52	WING 0.21X1200		222	2	0	1.02	0	 No Tax	 exclusive		kg=0.555555555555556_1.02|m=1_1.836												no_image.png	standard
2170705-53	WING 0.21X1200		222	2	0	1.02	0	 No Tax	 exclusive		kg=0.555555555555556_1.02|m=1_1.836												no_image.png	standard
ASPR1709998-1.3	GL 0.3X1200		3GL	2	0	0.99	0	 No Tax	 exclusive		kg=0.350877192982456_0.99|m=1_2.8215												no_image.png	standard
ASPR1709998-1.2	GL 0.3X1200		3GL	2	0	0.99	0	 No Tax	 exclusive		kg=0.350877192982456_0.99|m=1_2.8215												no_image.png	standard
1505216626	GL 0.4X1220		4GL	2	0	0.95	0	 No Tax	 exclusive		kg=0.277777777777778_0.95|m=1_3.42												no_image.png	standard
HDP600B28101	GL 0.6X1200		6GL	2	0	0.95	0	 No Tax	 exclusive		kg=0.175438596491228_0.95|m=1_5.415												no_image.png	standard
